date,commodity,weeks,coverage_level,coverage_price,F,producer_prem,cme_put,gap,gap_pct,source
2026-06-22,feeder,34,0.8,312.0,353.81,2.448,4.2043,1.7563,0.563,backfill_yahoo
2026-06-22,feeder,34,0.85,331.5,353.81,4.61,8.3618,3.7518,1.132,backfill_yahoo
2026-06-22,feeder,34,0.9,341.25,353.81,6.147,11.4169,5.2699,1.544,backfill_yahoo
2026-06-22,feeder,34,0.95,360.75,353.81,10.938,20.2426,9.3046,2.579,backfill_yahoo
2026-06-22,feeder,34,1.0,382.2,353.81,19.455,34.2873,14.8323,3.881,backfill_yahoo
2026-06-22,feeder,39,0.75,291.01,351.78,1.639,2.5677,0.9287,0.319,backfill_yahoo
2026-06-22,feeder,39,0.8,310.41,351.78,2.912,5.1233,2.2113,0.712,backfill_yahoo
2026-06-22,feeder,39,0.85,329.81,351.78,5.218,9.5365,4.3185,1.309,backfill_yahoo
2026-06-22,feeder,39,0.9,339.51,351.78,6.798,12.6638,5.8658,1.728,backfill_yahoo
2026-06-22,feeder,39,0.95,358.91,351.78,11.583,21.4791,9.8961,2.757,backfill_yahoo
2026-06-22,feeder,39,1.0,380.25,351.78,19.828,35.24,15.412,4.053,backfill_yahoo
2026-06-22,feeder,43,0.75,289.86,350.49,2.168,3.0679,0.8999,0.31,backfill_yahoo
2026-06-22,feeder,43,0.8,309.19,350.49,3.664,5.8164,2.1524,0.696,backfill_yahoo
2026-06-22,feeder,43,0.85,328.51,350.49,6.223,10.3719,4.1489,1.263,backfill_yahoo
2026-06-22,feeder,43,0.9,338.17,350.49,8.156,13.5256,5.3696,1.588,backfill_yahoo
2026-06-22,feeder,43,0.95,357.5,350.49,13.376,22.2757,8.8997,2.489,backfill_yahoo
2026-06-22,feeder,43,1.0,378.75,350.49,21.924,35.7904,13.8664,3.661,backfill_yahoo
2026-06-22,feeder,47,0.75,288.3,348.77,2.653,3.5695,0.9165,0.318,backfill_yahoo
2026-06-22,feeder,47,0.8,307.52,348.77,4.479,6.4794,2.0004,0.651,backfill_yahoo
2026-06-22,feeder,47,0.85,326.74,348.77,7.277,11.1426,3.8656,1.183,backfill_yahoo
2026-06-22,feeder,47,0.9,336.35,348.77,9.21,14.3079,5.0979,1.516,backfill_yahoo
2026-06-22,feeder,47,0.95,355.57,348.77,14.324,22.9598,8.6358,2.429,backfill_yahoo
2026-06-22,feeder,47,1.0,376.72,348.77,22.659,36.2331,13.5741,3.603,backfill_yahoo
2026-06-22,feeder,52,0.75,287.91,348.59,3.394,4.219,0.825,0.287,backfill_yahoo
2026-06-22,feeder,52,0.8,307.11,348.59,5.477,7.318,1.841,0.599,backfill_yahoo
2026-06-22,feeder,52,0.85,326.3,348.59,8.522,12.1063,3.5843,1.098,backfill_yahoo
2026-06-22,feeder,52,0.9,335.9,348.59,10.628,15.2906,4.6626,1.388,backfill_yahoo
2026-06-22,feeder,52,0.95,355.09,348.59,16.171,23.8524,7.6814,2.163,backfill_yahoo
2026-06-22,feeder,52,1.0,376.21,348.59,24.784,36.8952,12.1112,3.219,backfill_yahoo
2026-06-23,feeder,13,0.75,302.76,369.91,0.17,0.103,-0.067,-0.022,backfill_yahoo
2026-06-23,feeder,13,0.8,322.94,369.91,0.352,0.5692,0.2172,0.067,backfill_yahoo
2026-06-23,feeder,13,0.85,343.13,369.91,0.823,2.4014,1.5784,0.46,backfill_yahoo
2026-06-23,feeder,13,0.9,353.22,369.91,1.295,4.4348,3.1398,0.889,backfill_yahoo
2026-06-23,feeder,13,0.95,373.4,369.91,3.514,12.3285,8.8145,2.361,backfill_yahoo
2026-06-23,feeder,13,1.0,395.61,369.91,9.785,27.9352,18.1502,4.588,backfill_yahoo
2026-06-23,feeder,17,0.75,300.92,367.03,0.344,0.2843,-0.0597,-0.02,backfill_yahoo
2026-06-23,feeder,17,0.8,320.99,367.03,0.747,1.111,0.364,0.113,backfill_yahoo
2026-06-23,feeder,17,0.85,341.05,367.03,1.652,3.567,1.915,0.562,backfill_yahoo
2026-06-23,feeder,17,0.9,351.08,367.03,2.433,5.9207,3.4877,0.993,backfill_yahoo
2026-06-23,feeder,17,0.95,371.14,367.03,5.629,14.1142,8.4852,2.286,backfill_yahoo
2026-06-23,feeder,17,1.0,393.21,367.03,12.854,29.2614,16.4074,4.173,backfill_yahoo
2026-06-23,feeder,21,0.75,298.44,364.14,0.537,0.5385,0.0015,0.0,backfill_yahoo
2026-06-23,feeder,21,0.8,318.34,364.14,1.113,1.6921,0.5791,0.182,backfill_yahoo
2026-06-23,feeder,21,0.85,338.24,364.14,2.374,4.5757,2.2017,0.651,backfill_yahoo
2026-06-23,feeder,21,0.9,348.19,364.14,3.396,7.0952,3.6992,1.062,backfill_yahoo
2026-06-23,feeder,21,0.95,368.08,364.14,6.973,15.2828,8.3098,2.258,backfill_yahoo
2026-06-23,feeder,21,1.0,389.97,364.14,14.238,29.883,15.645,4.012,backfill_yahoo
2026-06-23,feeder,26,0.75,294.85,360.53,0.839,0.92,0.081,0.027,backfill_yahoo
2026-06-23,feeder,26,0.8,314.51,360.53,1.667,2.4112,0.7442,0.237,backfill_yahoo
2026-06-23,feeder,26,0.85,334.17,360.53,3.307,5.6392,2.3322,0.698,backfill_yahoo
2026-06-23,feeder,26,0.9,344.0,360.53,4.682,8.2486,3.5666,1.037,backfill_yahoo
2026-06-23,feeder,26,0.95,363.65,360.53,8.919,16.2379,7.3189,2.013,backfill_yahoo
2026-06-23,feeder,26,1.0,385.28,360.53,16.991,30.1397,13.1487,3.413,backfill_yahoo
2026-06-23,feeder,30,0.75,293.56,357.78,1.122,1.356,0.234,0.08,backfill_yahoo
2026-06-23,feeder,30,0.8,313.13,357.78,2.099,3.1917,1.0927,0.349,backfill_yahoo
2026-06-23,feeder,30,0.85,332.7,357.78,3.916,6.8272,2.9112,0.875,backfill_yahoo
2026-06-23,feeder,30,0.9,342.48,357.78,5.382,9.6175,4.2355,1.237,backfill_yahoo
2026-06-23,feeder,30,0.95,362.05,357.78,9.712,17.877,8.165,2.255,backfill_yahoo
2026-06-23,feeder,30,1.0,383.58,357.78,17.631,31.7081,14.0771,3.67,backfill_yahoo
2026-06-23,feeder,34,0.75,291.78,355.89,1.289,1.7679,0.4789,0.164,backfill_yahoo
2026-06-23,feeder,34,0.8,311.23,355.89,2.481,3.8349,1.3539,0.435,backfill_yahoo
2026-06-23,feeder,34,0.85,330.68,355.89,4.579,7.6712,3.0922,0.935,backfill_yahoo
2026-06-23,feeder,34,0.9,340.41,355.89,6.142,10.5133,4.3713,1.284,backfill_yahoo
2026-06-23,feeder,34,0.95,359.86,355.89,10.998,18.6854,7.6874,2.136,backfill_yahoo
2026-06-23,feeder,34,1.0,381.26,355.89,19.4,32.1809,12.7809,3.352,backfill_yahoo
2026-06-23,feeder,39,0.75,290.47,353.62,1.605,2.3895,0.7845,0.27,backfill_yahoo
2026-06-23,feeder,39,0.8,309.83,353.62,2.939,4.7787,1.8397,0.594,backfill_yahoo
2026-06-23,feeder,39,0.85,329.19,353.62,5.169,8.9283,3.7593,1.142,backfill_yahoo
2026-06-23,feeder,39,0.9,338.88,353.62,6.773,11.8877,5.1147,1.509,backfill_yahoo
2026-06-23,feeder,39,0.95,358.24,353.62,11.618,20.1743,8.5563,2.388,backfill_yahoo
2026-06-23,feeder,39,1.0,379.54,353.62,19.726,33.5038,13.7778,3.63,backfill_yahoo
2026-06-23,feeder,43,0.75,289.44,352.04,2.047,2.9052,0.8582,0.296,backfill_yahoo
2026-06-23,feeder,43,0.8,308.74,352.04,3.552,5.5165,1.9645,0.636,backfill_yahoo
2026-06-23,feeder,43,0.85,328.03,352.04,6.072,9.8621,3.7901,1.155,backfill_yahoo
2026-06-23,feeder,43,0.9,337.68,352.04,7.918,12.8837,4.9657,1.471,backfill_yahoo
2026-06-23,feeder,43,0.95,356.98,352.04,13.096,21.213,8.117,2.274,backfill_yahoo
2026-06-23,feeder,43,1.0,378.2,352.04,21.769,34.3925,12.6235,3.338,backfill_yahoo
2026-06-23,feeder,47,0.75,287.91,350.57,2.651,3.3758,0.7248,0.252,backfill_yahoo
2026-06-23,feeder,47,0.8,307.1,350.57,4.454,6.1355,1.6815,0.548,backfill_yahoo
2026-06-23,feeder,47,0.85,326.29,350.57,7.247,10.5751,3.3281,1.02,backfill_yahoo
2026-06-23,feeder,47,0.9,335.89,350.57,9.187,13.6013,4.4143,1.314,backfill_yahoo
2026-06-23,feeder,47,0.95,355.09,350.57,14.237,21.8064,7.5694,2.132,backfill_yahoo
2026-06-23,feeder,47,1.0,376.2,350.57,22.68,34.7206,12.0406,3.201,backfill_yahoo
2026-06-23,feeder,52,0.75,287.56,350.28,3.393,4.0247,0.6317,0.22,backfill_yahoo
2026-06-23,feeder,52,0.8,306.73,350.28,5.485,6.9862,1.5012,0.489,backfill_yahoo
2026-06-23,feeder,52,0.85,325.9,350.28,8.504,11.5784,3.0744,0.943,backfill_yahoo
2026-06-23,feeder,52,0.9,335.48,350.28,10.593,14.6378,4.0448,1.206,backfill_yahoo
2026-06-23,feeder,52,0.95,354.66,350.28,16.061,22.8028,6.7418,1.901,backfill_yahoo
2026-06-23,feeder,52,1.0,375.74,350.28,24.904,35.5293,10.6253,2.828,backfill_yahoo
2026-06-24,feeder,13,0.75,305.77,370.57,0.153,0.1289,-0.0241,-0.008,backfill_yahoo
2026-06-24,feeder,13,0.8,326.15,370.57,0.325,0.6987,0.3737,0.115,backfill_yahoo
2026-06-24,feeder,13,0.85,346.54,370.57,0.773,2.8712,2.0982,0.605,backfill_yahoo
2026-06-24,feeder,13,0.9,356.73,370.57,1.225,5.2222,3.9972,1.121,backfill_yahoo
2026-06-24,feeder,13,0.95,377.11,370.57,3.377,14.1184,10.7414,2.848,backfill_yahoo
2026-06-24,feeder,13,1.0,399.54,370.57,9.632,30.6839,21.0519,5.269,backfill_yahoo
2026-06-24,feeder,17,0.75,303.36,367.73,0.355,0.3259,-0.0291,-0.01,backfill_yahoo
2026-06-24,feeder,17,0.8,323.58,367.73,0.648,1.2598,0.6118,0.189,backfill_yahoo
2026-06-24,feeder,17,0.85,343.81,367.73,1.513,3.9926,2.4796,0.721,backfill_yahoo
2026-06-24,feeder,17,0.9,353.92,367.73,2.39,6.5742,4.1842,1.182,backfill_yahoo
2026-06-24,feeder,17,0.95,374.14,367.73,5.586,15.4605,9.8745,2.639,backfill_yahoo
2026-06-24,feeder,17,1.0,396.39,367.73,12.566,31.2771,18.7111,4.72,backfill_yahoo
2026-06-24,feeder,21,0.75,300.59,364.83,0.536,0.594,0.058,0.019,backfill_yahoo
2026-06-24,feeder,21,0.8,320.63,364.83,1.059,1.8552,0.7962,0.248,backfill_yahoo
2026-06-24,feeder,21,0.85,340.67,364.83,2.247,4.9743,2.7273,0.801,backfill_yahoo
2026-06-24,feeder,21,0.9,350.69,364.83,3.233,7.6746,4.4416,1.267,backfill_yahoo
2026-06-24,feeder,21,0.95,370.73,364.83,6.811,16.413,9.602,2.59,backfill_yahoo
2026-06-24,feeder,21,1.0,392.78,364.83,14.074,31.547,17.473,4.449,backfill_yahoo
2026-06-24,feeder,26,0.75,296.76,361.15,0.857,0.9906,0.1336,0.045,backfill_yahoo
2026-06-24,feeder,26,0.8,316.55,361.15,1.644,2.5873,0.9433,0.298,backfill_yahoo
2026-06-24,feeder,26,0.85,336.33,361.15,3.246,6.0181,2.7721,0.824,backfill_yahoo
2026-06-24,feeder,26,0.9,346.22,361.15,4.603,8.7739,4.1709,1.205,backfill_yahoo
2026-06-24,feeder,26,0.95,366.01,361.15,8.914,17.2183,8.3043,2.269,backfill_yahoo
2026-06-24,feeder,26,1.0,387.77,361.15,16.997,31.5502,14.5532,3.753,backfill_yahoo
2026-06-24,feeder,30,0.75,295.46,358.39,1.143,1.4485,0.3055,0.103,backfill_yahoo
2026-06-24,feeder,30,0.8,315.16,358.39,2.069,3.4001,1.3311,0.422,backfill_yahoo
2026-06-24,feeder,30,0.85,334.85,358.39,3.842,7.241,3.399,1.015,backfill_yahoo
2026-06-24,feeder,30,0.9,344.7,358.39,5.288,10.1769,4.8889,1.418,backfill_yahoo
2026-06-24,feeder,30,0.95,364.4,358.39,9.694,18.8725,9.1785,2.519,backfill_yahoo
2026-06-24,feeder,30,1.0,386.07,358.39,17.613,33.1133,15.5003,4.015,backfill_yahoo
2026-06-24,feeder,34,0.75,293.47,356.5,1.328,1.8609,0.5329,0.182,backfill_yahoo
2026-06-24,feeder,34,0.8,313.03,356.5,2.475,4.029,1.554,0.496,backfill_yahoo
2026-06-24,feeder,34,0.85,332.6,356.5,4.57,8.0389,3.4689,1.043,backfill_yahoo
2026-06-24,feeder,34,0.9,342.38,356.5,6.231,10.9958,4.7648,1.392,backfill_yahoo
2026-06-24,feeder,34,0.95,361.94,356.5,11.057,19.5217,8.4647,2.339,backfill_yahoo
2026-06-24,feeder,34,1.0,383.46,356.5,19.468,33.3469,13.8789,3.619,backfill_yahoo
2026-06-24,feeder,39,0.75,292.11,354.29,1.645,2.4934,0.8484,0.29,backfill_yahoo
2026-06-24,feeder,39,0.8,311.59,354.29,2.924,4.982,2.058,0.66,backfill_yahoo
2026-06-24,feeder,39,0.85,331.06,354.29,5.144,9.2895,4.1455,1.252,backfill_yahoo
2026-06-24,feeder,39,0.9,340.8,354.29,6.851,12.3512,5.5002,1.614,backfill_yahoo
2026-06-24,feeder,39,0.95,360.27,354.29,11.653,20.956,9.303,2.582,backfill_yahoo
2026-06-24,feeder,39,1.0,381.69,354.29,19.751,34.5775,14.8265,3.884,backfill_yahoo
2026-06-24,feeder,43,0.75,290.74,352.78,2.033,2.9816,0.9486,0.326,backfill_yahoo
2026-06-24,feeder,43,0.8,310.13,352.78,3.596,5.6586,2.0626,0.665,backfill_yahoo
2026-06-24,feeder,43,0.85,329.51,352.78,6.146,10.1065,3.9605,1.202,backfill_yahoo
2026-06-24,feeder,43,0.9,339.2,352.78,7.923,13.1928,5.2698,1.554,backfill_yahoo
2026-06-24,feeder,43,0.95,358.58,352.78,13.258,21.7217,8.4637,2.36,backfill_yahoo
2026-06-24,feeder,43,1.0,379.9,352.78,21.791,35.0923,13.3013,3.501,backfill_yahoo
2026-06-24,feeder,47,0.75,289.36,351.17,2.583,3.4886,0.9056,0.313,backfill_yahoo
2026-06-24,feeder,47,0.8,308.65,351.17,4.363,6.3368,1.9738,0.639,backfill_yahoo
2026-06-24,feeder,47,0.85,327.94,351.17,7.102,10.9099,3.8079,1.161,backfill_yahoo
2026-06-24,feeder,47,0.9,337.59,351.17,9.03,14.0214,4.9914,1.479,backfill_yahoo
2026-06-24,feeder,47,0.95,356.88,351.17,14.121,22.4901,8.3691,2.345,backfill_yahoo
2026-06-24,feeder,47,1.0,378.1,351.17,22.586,35.6441,13.0581,3.454,backfill_yahoo
2026-06-24,feeder,52,0.75,288.92,350.87,3.344,4.138,0.794,0.275,backfill_yahoo
2026-06-24,feeder,52,0.8,308.18,350.87,5.513,7.1795,1.6665,0.541,backfill_yahoo
2026-06-24,feeder,52,0.85,327.45,350.87,8.533,11.8914,3.3584,1.026,backfill_yahoo
2026-06-24,feeder,52,0.9,337.08,350.87,10.483,15.0265,4.5435,1.348,backfill_yahoo
2026-06-24,feeder,52,0.95,356.34,350.87,16.123,23.4239,7.3009,2.049,backfill_yahoo
2026-06-24,feeder,52,1.0,377.53,350.87,24.872,36.365,11.493,3.044,backfill_yahoo
2026-06-25,feeder,13,0.75,306.38,366.75,0.165,0.1784,0.0134,0.004,backfill_yahoo
2026-06-25,feeder,13,0.8,326.81,366.75,0.318,0.9372,0.6192,0.189,backfill_yahoo
2026-06-25,feeder,13,0.85,347.24,366.75,0.76,3.6929,2.9329,0.845,backfill_yahoo
2026-06-25,feeder,13,0.9,357.45,366.75,1.21,6.5567,5.3467,1.496,backfill_yahoo
2026-06-25,feeder,13,0.95,377.87,366.75,3.39,16.9195,13.5295,3.58,backfill_yahoo
2026-06-25,feeder,13,1.0,400.34,366.75,9.567,34.6326,25.0656,6.261,backfill_yahoo
2026-06-25,feeder,17,0.75,303.99,363.87,0.299,0.4234,0.1244,0.041,backfill_yahoo
2026-06-25,feeder,17,0.8,324.25,363.87,0.659,1.6019,0.9429,0.291,backfill_yahoo
2026-06-25,feeder,17,0.85,344.52,363.87,1.51,4.9311,3.4211,0.993,backfill_yahoo
2026-06-25,feeder,17,0.9,354.65,363.87,2.305,7.9834,5.6784,1.601,backfill_yahoo
2026-06-25,feeder,17,0.95,374.92,363.87,5.451,18.2053,12.7543,3.402,backfill_yahoo
2026-06-25,feeder,17,1.0,397.21,363.87,12.649,35.098,22.449,5.652,backfill_yahoo
2026-06-25,feeder,21,0.75,301.25,360.95,0.495,0.7421,0.2471,0.082,backfill_yahoo
2026-06-25,feeder,21,0.8,321.33,360.95,0.998,2.2815,1.2835,0.399,backfill_yahoo
2026-06-25,feeder,21,0.85,341.42,360.95,2.192,5.99,3.798,1.112,backfill_yahoo
2026-06-25,feeder,21,0.9,351.46,360.95,3.256,9.125,5.869,1.67,backfill_yahoo
2026-06-25,feeder,21,0.95,371.54,360.95,6.768,19.1004,12.3324,3.319,backfill_yahoo
2026-06-25,feeder,21,1.0,393.63,360.95,13.979,35.2516,21.2726,5.404,backfill_yahoo
2026-06-25,feeder,26,0.75,297.27,357.2,0.823,1.1879,0.3649,0.123,backfill_yahoo
2026-06-25,feeder,26,0.8,317.09,357.2,1.633,3.0701,1.4371,0.453,backfill_yahoo
2026-06-25,feeder,26,0.85,336.91,357.2,3.279,7.0389,3.7599,1.116,backfill_yahoo
2026-06-25,feeder,26,0.9,346.82,357.2,4.696,10.1732,5.4772,1.579,backfill_yahoo
2026-06-25,feeder,26,0.95,366.64,357.2,8.985,19.7174,10.7324,2.927,backfill_yahoo
2026-06-25,feeder,26,1.0,388.44,357.2,17.084,34.97,17.886,4.605,backfill_yahoo
2026-06-25,feeder,30,0.75,296.0,354.44,1.098,1.7038,0.6058,0.205,backfill_yahoo
2026-06-25,feeder,30,0.8,315.73,354.44,2.052,3.9656,1.9136,0.606,backfill_yahoo
2026-06-25,feeder,30,0.85,335.47,354.44,3.873,8.3502,4.4772,1.335,backfill_yahoo
2026-06-25,feeder,30,0.9,345.33,354.44,5.382,11.6483,6.2663,1.815,backfill_yahoo
2026-06-25,feeder,30,0.95,365.07,354.44,9.758,21.4073,11.6493,3.191,backfill_yahoo
2026-06-25,feeder,30,1.0,386.77,354.44,17.684,36.5013,18.8173,4.865,backfill_yahoo
2026-06-25,feeder,34,0.75,293.95,352.54,1.31,2.1497,0.8397,0.286,backfill_yahoo
2026-06-25,feeder,34,0.8,313.55,352.54,2.526,4.6264,2.1004,0.67,backfill_yahoo
2026-06-25,feeder,34,0.85,333.14,352.54,4.618,9.1416,4.5236,1.358,backfill_yahoo
2026-06-25,feeder,34,0.9,342.94,352.54,6.162,12.4342,6.2722,1.829,backfill_yahoo
2026-06-25,feeder,34,0.95,362.54,352.54,10.944,21.9608,11.0168,3.039,backfill_yahoo
2026-06-25,feeder,34,1.0,384.1,352.54,19.53,36.5926,17.0626,4.442,backfill_yahoo
2026-06-25,feeder,39,0.75,292.67,350.34,1.617,2.8431,1.2261,0.419,backfill_yahoo
2026-06-25,feeder,39,0.8,312.18,350.34,2.973,5.652,2.679,0.858,backfill_yahoo
2026-06-25,feeder,39,0.85,331.69,350.34,5.182,10.4619,5.2799,1.592,backfill_yahoo
2026-06-25,feeder,39,0.9,341.45,350.34,6.758,13.846,7.088,2.076,backfill_yahoo
2026-06-25,feeder,39,0.95,360.96,350.34,11.504,23.4258,11.9218,3.303,backfill_yahoo
2026-06-25,feeder,39,1.0,382.42,350.34,19.771,37.8104,18.0394,4.717,backfill_yahoo
2026-06-25,feeder,43,0.75,291.42,348.81,2.127,3.3801,1.2531,0.43,backfill_yahoo
2026-06-25,feeder,43,0.8,310.85,348.81,3.58,6.3882,2.8082,0.903,backfill_yahoo
2026-06-25,feeder,43,0.85,330.28,348.81,6.092,11.3397,5.2477,1.589,backfill_yahoo
2026-06-25,feeder,43,0.9,339.99,348.81,8.014,14.7422,6.7282,1.979,backfill_yahoo
2026-06-25,feeder,43,0.95,359.42,348.81,13.241,24.2511,11.0101,3.063,backfill_yahoo
2026-06-25,feeder,43,1.0,380.79,348.81,21.731,38.3791,16.6481,4.372,backfill_yahoo
2026-06-25,feeder,47,0.75,289.84,347.26,2.574,3.889,1.315,0.454,backfill_yahoo
2026-06-25,feeder,47,0.8,309.16,347.26,4.355,7.0429,2.6879,0.869,backfill_yahoo
2026-06-25,feeder,47,0.85,328.49,347.26,7.107,12.0691,4.9621,1.511,backfill_yahoo
2026-06-25,feeder,47,0.9,338.15,347.26,9.029,15.4598,6.4308,1.902,backfill_yahoo
2026-06-25,feeder,47,0.95,357.47,347.26,14.092,24.8129,10.7209,2.999,backfill_yahoo
2026-06-25,feeder,47,1.0,378.73,347.26,22.434,38.6408,16.2068,4.279,backfill_yahoo
2026-06-25,feeder,52,0.75,289.41,346.96,3.339,4.5716,1.2326,0.426,backfill_yahoo
2026-06-25,feeder,52,0.8,308.7,346.96,5.403,7.9139,2.5109,0.813,backfill_yahoo
2026-06-25,feeder,52,0.85,327.99,346.96,8.547,13.0532,4.5062,1.374,backfill_yahoo
2026-06-25,feeder,52,0.9,337.64,346.96,10.499,16.4541,5.9551,1.764,backfill_yahoo
2026-06-25,feeder,52,0.95,356.94,346.96,15.998,25.713,9.715,2.722,backfill_yahoo
2026-06-25,feeder,52,1.0,378.16,346.96,24.898,39.2867,14.3887,3.805,backfill_yahoo
2026-06-26,feeder,13,0.75,303.19,366.65,0.161,0.1353,-0.0257,-0.008,backfill_yahoo
2026-06-26,feeder,13,0.8,323.4,366.65,0.386,0.7294,0.3434,0.106,backfill_yahoo
2026-06-26,feeder,13,0.85,343.62,366.65,1.04,2.9765,1.9365,0.564,backfill_yahoo
2026-06-26,feeder,13,0.9,353.72,366.65,1.676,5.39,3.714,1.05,backfill_yahoo
2026-06-26,feeder,13,0.95,373.93,366.65,4.475,14.4602,9.9852,2.67,backfill_yahoo
2026-06-26,feeder,13,1.0,396.17,366.65,11.624,31.0888,19.4648,4.913,backfill_yahoo
2026-06-26,feeder,17,0.75,300.87,363.77,0.361,0.341,-0.02,-0.007,backfill_yahoo
2026-06-26,feeder,17,0.8,320.93,363.77,0.745,1.3132,0.5682,0.177,backfill_yahoo
2026-06-26,feeder,17,0.85,340.98,363.77,1.695,4.1343,2.4393,0.715,backfill_yahoo
2026-06-26,feeder,17,0.9,351.01,363.77,2.511,6.7857,4.2747,1.218,backfill_yahoo
2026-06-26,feeder,17,0.95,371.07,363.77,5.708,15.8663,10.1583,2.738,backfill_yahoo
2026-06-26,feeder,17,1.0,393.13,363.77,12.902,31.7686,18.8666,4.799,backfill_yahoo
2026-06-26,feeder,21,0.75,297.98,360.84,0.459,0.6124,0.1534,0.051,backfill_yahoo
2026-06-26,feeder,21,0.8,317.85,360.84,1.081,1.908,0.827,0.26,backfill_yahoo
2026-06-26,feeder,21,0.85,337.71,360.84,2.399,5.0955,2.6965,0.798,backfill_yahoo
2026-06-26,feeder,21,0.9,347.65,360.84,3.484,7.8469,4.3629,1.255,backfill_yahoo
2026-06-26,feeder,21,0.95,367.51,360.84,7.381,16.7194,9.3384,2.541,backfill_yahoo
2026-06-26,feeder,21,1.0,389.36,360.84,15.469,31.8945,16.4255,4.219,backfill_yahoo
2026-06-26,feeder,26,0.75,294.02,357.1,0.831,1.0099,0.1789,0.061,backfill_yahoo
2026-06-26,feeder,26,0.8,313.62,357.1,1.729,2.6326,0.9036,0.288,backfill_yahoo
2026-06-26,feeder,26,0.85,333.22,357.1,3.413,6.1104,2.6974,0.81,backfill_yahoo
2026-06-26,feeder,26,0.9,343.03,357.1,4.697,8.9003,4.2033,1.225,backfill_yahoo
2026-06-26,feeder,26,0.95,362.63,357.1,9.003,17.4325,8.4295,2.325,backfill_yahoo
2026-06-26,feeder,26,1.0,384.19,357.1,17.295,31.7758,14.4808,3.769,backfill_yahoo
2026-06-26,feeder,30,0.75,292.79,354.38,1.106,1.475,0.369,0.126,backfill_yahoo
2026-06-26,feeder,30,0.8,312.31,354.38,2.161,3.4575,1.2965,0.415,backfill_yahoo
2026-06-26,feeder,30,0.85,331.83,354.38,4.018,7.3512,3.3332,1.004,backfill_yahoo
2026-06-26,feeder,30,0.9,341.59,354.38,5.374,10.319,4.945,1.448,backfill_yahoo
